level0,level1,level2,level3,level4,level5,level6,level7,Comment/help
Movie Shooting,Movie quality,,,,,,,"Choose from [High quality] and [Normal]. For more information, see “The i Menu” under “Frame Size and Rate/Image Quality” (Frame Size and Rate/Image Quality)"
Movie Shooting,Movie file type,,,,,,,Record movies in MOV or MP4 format. The audio recording format varies with movie file format. Linear PCM is used for MOV files and AAC for MP4 files.
Movie Shooting,ISO sensitivity settings,,,,,,,Adjust the following ISO sensitivity settings for use in movie mode. [Maximum sensitivity].
Movie Shooting,ISO sensitivity settings,On,,,,,,"Choose the upper limit for auto ISO sensitivity control from values between ISO 200 and Hi 2.0. The selected value serves as the upper limit for ISO sensitivity in modes P, S, and A and when is selected for [Auto ISO control (mode M)] in mode M"
Movie Shooting,ISO sensitivity settings,On,,,,,,": Enable auto ISO sensitivity control in mode M. [Off]: Use the value selected for [ISO sensitivity (mode M)]. Regardless of the option selected, auto ISO sensitivity control is used in modes other than M"
Movie Shooting,ISO sensitivity settings,Choose the ISO sensitivity for mode M from values between ISO 64 (Z 7II) or 100 (Z 6II) and Hi 2.0.,,,,,,
Movie Shooting,White balance,,,,,,,Choose the white balance for movies. Select [Same as photo settings] to use the option currently selected for photos (White Balance)
Movie Shooting,Set Picture Control,,,,,,,Choose a Picture Control for movies. Select [Same as photo settings] to use the option currently selected for photos (Set Picture Control)
Movie Shooting,Manage Picture Control,,,,,,,Save modified Picture Controls as custom Picture Controls (Manage Picture Control)
Movie Shooting,Active D-Lighting,,,,,,,"Preserve details in highlights and shadows, creating movies with natural contrast. Select [Same as photo settings] to use the option currently selected for photos (Active D-Lighting)"
Movie Shooting,High ISO NR,,,,,,,
Movie Shooting,Vignette control,,,,,,,Reduce vignetting in movies. Select [Same as photo settings] to use the option currently selected for photos (Vignette Control)
Movie Shooting,Diffraction compensation,,,,,,,
Movie Shooting,Auto distortion control,,,,,,,Reduce barrel and pin-cushion distortion in movies (Auto Distortion Control)
Movie Shooting,Flicker reduction,,,,,,,"Reduce flicker and banding when shooting under fluorescent or mercury-vapor lighting during movie recording. Choose [Auto] to allow the camera to automatically choose the correct frequency. If [Auto] fails to produce the desired results, select [50 Hz] or [60 Hz] according to the frequency of the local power supply. Choose [50 Hz] for areas with a 50 Hz power supply, [60 Hz] for areas with a 60 Hz power supply. If [Auto] fails to produce the desired results and you are unsure as to the frequency of the local power supply, test both the 50 and 60 Hz options and choose the one that produces the best results."
Movie Shooting,Metering,,,,,,,Choose how the camera meters exposure in movie mode. [Spot metering] is not available in the movie shooting menu (Metering)
Movie Shooting,Focus mode,,,,,,,Choose a focus mode for movie recording (Focus Mode)
Movie Shooting,AF-area mode,,,,,,,Choose how the camera focuses in movie mode (AF-Area Mode)
Movie Shooting,Vibration reduction,,,,,,,Adjust vibration reduction settings for movie mode. Select [Same as photo settings] to use the option currently selected for photos (Vibration Reduction)
Movie Shooting,Electronic VR,,,,,,,Choose whether to enable electronic vibration reduction in movie mode (Electronic VR)
Movie Shooting,Microphone sensitivity,,,,,,,Turn built-in or external microphones on or off or adjust microphone sensitivity. Adjust microphone sensitivity automatically.
Movie Shooting,Microphone sensitivity,Adjust microphone sensitivity automatically.,,,,,,
Movie Shooting,Microphone sensitivity,1,,,,,,Turn built-in or external microphones on or off or adjust microphone sensitivity. Adjust microphone sensitivity automatically.
Movie Shooting,Microphone sensitivity,Turn sound recording off.,,,,,,
Movie Shooting,Attenuator,,,,,,,Select [Enable] to reduce microphone gain and prevent audio distortion when recording movies in loud environments. 1 The Movie Shooting Menu: Movie Shooting Options.
Movie Shooting,Frequency response,,,,,,,Choose the range of frequencies to which built-in and external microphones respond. Record a wide range of frequencies. Choose for everything from music to the bustling hum of a city street.
Movie Shooting,Frequency response,Wide range,,,,,,Choose the range of frequencies to which built-in and external microphones respond. Record a wide range of frequencies. Choose for everything from music to the bustling hum of a city street.
Movie Shooting,Frequency response,Vocal range,,,,,,Choose for human voices
Movie Shooting,Wind noise reduction,,,,,,,"Select [On] to enable the low-cut filter, reducing noise produced by wind blowing over the built-in microphone. Note that other sounds may also be affected. Selecting [On] for [Wind noise reduction] has no effect on optional stereo microphones. Wind-noise reduction for optional stereo microphones that support this feature can be enabled or disabled using microphone controls."
Movie Shooting,Headphone volume,,,,,,,
Movie Shooting,Timecode,,,,,,,"Choose whether to record time codes giving the hour, minute, second, and frame number for each frame when shooting movies. Time codes are available only with movies recorded in MOV format. [On]: Record time codes. The time code appears in the shooting display."
Movie Shooting,Timecode,On,,,,,,"Choose whether to record time codes giving the hour, minute, second, and frame number for each frame when shooting movies. Time codes are available only with movies recorded in MOV format. [On]: Record time codes. The time code appears in the shooting display."
Movie Shooting,Timecode,Record run,,,,,,"Choose whether to record time codes giving the hour, minute, second, and frame number for each frame when shooting movies. Time codes are available only with movies recorded in MOV format. [On]: Record time codes. The time code appears in the shooting display."
Movie Shooting,Timecode,Reset,,,,,,"Choose whether to record time codes giving the hour, minute, second, and frame number for each frame when shooting movies. Time codes are available only with movies recorded in MOV format. [On]: Record time codes. The time code appears in the shooting display."
Movie Shooting,Timecode,On,,,,,,"Choose whether to record time codes giving the hour, minute, second, and frame number for each frame when shooting movies. Time codes are available only with movies recorded in MOV format. [On]: Record time codes. The time code appears in the shooting display."
Custom Settings,Reset custom settings,,,,,,,
Custom Settings,AF-C priority selection,,,,,,,Choose whether photos can be taken before the camera focuses when AF-C is selected. Photos can be taken only when the camera is in focus (focus priority).
Custom Settings,AF-C priority selection,Release,,,,,,Photos can be taken whenever the shutter-release button is pressed (release priority)
Custom Settings,AF-C priority selection,Focus,,,,,,Photos can be taken only when the camera is in focus (focus priority)
Custom Settings,AF-S priority selection,,,,,,,Choose whether photos can be taken before the camera focuses when AF-S is selected. Photos can be taken only when the camera is in focus (focus priority).
Custom Settings,AF-S priority selection,Release,,,,,,Photos can be taken whenever the shutter-release button is pressed (release priority)
Custom Settings,AF-S priority selection,Focus,,,,,,Photos can be taken only when the camera is in focus (focus priority)
Custom Settings,Focus tracking with lock-on,,,,,,,Choose how quickly focus responds if something passes between the subject and the camera when AF-C is selected for the focus mode. Choose [5 (Delayed)] to help maintain focus on your original subject.
Custom Settings,Focus points used,,,,,,,"Choose the number of focus points available for manual focus-point selection when an option other than [Auto-area AF], [Auto-area AF (people)], and [Auto-area AF (animals)] is selected for AF-area mode. Every focus point available in the current AF-area mode can be selected. The number of points available varies with the AF-area mode."
Custom Settings,Focus points used,All points,,,,,,"Choose the number of focus points available for manual focus-point selection when an option other than [Auto-area AF], [Auto-area AF (people)], and [Auto-area AF (animals)] is selected for AF-area mode. Every focus point available in the current AF-area mode can be selected. The number of points available varies with the AF-area mode."
Custom Settings,Focus points used,Every other point,,,,,,"Choose the number of focus points available for manual focus-point selection when an option other than [Auto-area AF], [Auto-area AF (people)], and [Auto-area AF (animals)] is selected for AF-area mode. Every focus point available in the current AF-area mode can be selected. The number of points available varies with the AF-area mode."
Custom Settings,Store points by orientation,,,,,,,"Choose whether separate focus points can be selected for “wide” (landscape) orientation, for “tall” (portrait) orientation with the camera rotated 90° clockwise, and for “tall” orientation with the camera rotated 90° counterclockwise. Select [No] to use the same focus point regardless of camera orientation."
Custom Settings,AF activation,,,,,,,"Choose whether the shutter-release button can be used to focus. If [AF-ON only] is selected, the camera will not focus when the shutter-release button is pressed halfway. Focus can only be adjusted using the AF-ON button or other controls to which AF‑ON has been assigned using"
Custom Settings,AF activation,Shutter-release enabled.,,,,,,
Custom Settings,AF activation,Shutter-release disabled.,,,,,,
Custom Settings,Limit AF-area mode selection,,,,,,,Choose the AF-area modes that can be selected using the i menu or custom controls. A Custom Settings: Fine-Tuning Camera Settings.
Custom Settings,Focus point wrap-around,,,,,,,"Choose whether focus-point selection “wraps around” from one edge of the display to another. If [Wrap] is selected, focus-point selection will “wrap around” from top to bottom, bottom to top, right to left, and left to right, so that"
Custom Settings,Focus point options,,,,,,,Choose from the focus point display options below. The focus point is displayed at all times in manual focus mode.
Custom Settings,Focus point options,The focus point is displayed at all times in manual focus mode.,,,,,,
Custom Settings,Focus point options,The focus point is displayed only during focus point selection.,,,,,,
Custom Settings,Focus point options,Display both the selected focus point and surrounding focus points.,,,,,,
Custom Settings,Focus point options,Display only the selected focus point.,,,,,,
Custom Settings,Low-light AF,,,,,,,"Choose [On] for more accurate focus under low-light conditions when AF-S is selected for focus mode. In photo mode, this option takes effect only in modes P, S, A, and M."
Custom Settings,Built-in AF-assist illuminator,,,,,,,"Choose whether the built-in AF-assist illuminator lights to assist the focus operation in photo mode when lighting is poor. In photo mode, the illuminator will light as required when AF-S is selected for focus mode."
Custom Settings,Built-in AF-assist illuminator,"In photo mode, the illuminator will light as required when AF-S is selected for focus mode.",,,,,,
Custom Settings,Built-in AF-assist illuminator,The illuminator does not light to assist the focus operation. The camera may not be able to focus when lighting is poor.,,,,,,
Custom Settings,Manual focus ring in AF mode,,,,,,,Choose whether the lens focus ring can be used for manual focus in autofocus mode. The lens focus ring cannot be used for manual focus while autofocus mode is selected.
Custom Settings,Manual focus ring in AF mode,"Autofocus can be over-ridden by rotating the lens focus ring (autofocus with manual override). The focus ring can be used for manual focus while the shutter-release button is pressed halfway. To refocus using autofocus, lift your finger from the shutter-release button and then press it halfway again.",,,,,,
Custom Settings,Manual focus ring in AF mode,The lens focus ring cannot be used for manual focus while autofocus mode is selected.,,,,,,
Custom Settings,EV steps for exposure cntrl,,,,,,,"Select the increments used for adjustments to shutter speed, aperture, ISO sensitivity, bracketing, and exposure and flash compensation. A Custom Settings: Fine-Tuning Camera Settings."
Custom Settings,Easy exposure compensation,,,,,,,Exposure compensation can be adjusted using only a command dial. The setting selected with the command dial is reset when the camera turns off or the standby timer expires. Exposure compensation can be adjusted using only a command dial. Exposure compensation is not reset when the camera turns off or the standby timer expires.
Custom Settings,Easy exposure compensation,Exposure compensation can be adjusted using only a command dial. The setting selected with the command dial is reset when the camera turns off or the standby timer expires.,,,,,,
Custom Settings,Easy exposure compensation,Exposure compensation can be adjusted using only a command dial. Exposure compensation is not reset when the camera turns off or the standby timer expires.,,,,,,
Custom Settings,Easy exposure compensation,Exposure compensation is set by pressing the E button and rotating the main command dial.,,,,,,
Custom Settings,Center-weighted area,,,,,,,"When [Center-weighted metering] is selected, the camera assigns the greatest weight to an area in the center of the shooting display when setting exposure. Custom Setting b3 [Center-weighted area] is used to choose the size of the area given the greatest weight when [Center-weighted metering] is selected. A Custom Settings: Fine-Tuning Camera Settings."
Custom Settings,Fine-tune optimal exposure,,,,,,,"Use this option to fine-tune the exposure value selected by the camera; exposure can be fine-tuned separately for each metering method. Exposure can be adjusted up for brighter exposures or down for darker exposures in the range +1 to –1 EV in steps of 1/6 EV. The default is 0. Regardless of the option selected for Custom Setting b4 [Fine-tune optimal exposure], the exposure compensation icon (E) will not be displayed. The only way to determine how much exposure has been altered is to view the amount in the fine-tuning menu for Custom Setting b4."
Custom Settings,Shutter-release button AE-L,,,,,,,Choose whether exposure locks when the shutter-release button is pressed
Custom Settings,Shutter-release button AE-L,On (half press),,,,,,A Custom Settings: Fine-Tuning Camera Settings.
Custom Settings,Shutter-release button AE-L,On (burst mode),,,,,,Exposure only locks while the shutter-release button is pressed all the way down
Custom Settings,Shutter-release button AE-L,Pressing the shutter-release button does not lock exposure.,,,,,,
Playback,Delete,All images,,,,,,"Delete all pictures in the folder currently selected for [Playback folder] in the playback menu. If two memory cards are inserted, you can select the card from which pictures will be deleted."
Playback,Delete,Images shot on selected dates,,,,,,Delete all pictures taken on selected dates (Images Shot on Selected Dates).
Playback,Delete,Selected images,,,,,,Delete selected pictures.
Custom Settings,Self-timer,,,,,,,"Choose the length of the shutter release delay, the number of shots taken, and the interval between shots in self-timer mode. Choose the length of the shutter-release delay."
Custom Settings,Self-timer,Choose the length of the shutter-release delay.,,,,,,
Custom Settings,Self-timer,Press 1 and 3 to choose the number of shots taken each time the shutter-release button is pressed; choose from values of from 1 to 9.,,,,,,
Custom Settings,Self-timer,Number of shots,,,,,,Choose the interval between shots when is more than 1
Custom Settings,Power off delay,,,,,,,"Choose how long the monitor or viewfinder remains on when no operations are performed. Different settings can be chosen for [Playback], [Menus], [Image review], and [Standby timer]."
Custom Settings,CL mode shooting speed,,,,,,,Choose the frame advance rate for low-speed continuous release mode; options range from [5 fps] to [1 fps]
Custom Settings,Max. continuous release,,,,,,,The maximum number of shots that can be taken in a single burst in continuous release modes can be set to any value between 1 and 200
Custom Settings,Sync. release mode options,,,,,,,Choose whether the shutters on the remote cameras are synchronized with the shutter on the master camera when using an optional wireless remote controller. A Custom Settings: Fine-Tuning Camera Settings.
Custom Settings,Exposure delay mode,,,,,,,"In situations where the slightest camera movement can blur pictures, shutter release can be delayed by from about 0.2 to 3 seconds after the shutter-release button is pressed"
Custom Settings,Shutter type,,,,,,,Choose the type of shutter used for photographs. The camera chooses the shutter type automatically according to shutter speed. The electronic front-curtain shutter is used to reduce blur caused by camera shake at slow shutter speeds.
Custom Settings,Shutter type,Auto,,,,,,Choose the type of shutter used for photographs. The camera chooses the shutter type automatically according to shutter speed. The electronic front-curtain shutter is used to reduce blur caused by camera shake at slow shutter speeds.
Custom Settings,Shutter type,Mechanical shutter,,,,,,Choose the type of shutter used for photographs. The camera chooses the shutter type automatically according to shutter speed. The electronic front-curtain shutter is used to reduce blur caused by camera shake at slow shutter speeds.
Custom Settings,Shutter type,Electronic front-curtain shutter,,,,,,Choose the type of shutter used for photographs. The camera chooses the shutter type automatically according to shutter speed. The electronic front-curtain shutter is used to reduce blur caused by camera shake at slow shutter speeds.
Custom Settings,Extended shutter speeds (M),,,,,,,"Extend the range of shutter speeds available in mode M; the slowest shutter speed available when [On] is selected is 900 s (15 minutes). Extended shutter speeds can be used for pictures of the night sky and other long exposures. To use extended shutter speeds, choose [On] and select a shutter speed of 60 s or slower."
Custom Settings,Limit selectable image area,,,,,,,Choose the options that can be accessed by rotating a command dial in the i menu or while pressing a control to which image area has been assigned
Custom Settings,File number sequence,,,,,,,"Choose a file numbering option. When a new folder is created or a new memory card is inserted in the camera, file numbering will continue from the last number used. This simplifies file management by minimizing the occurrence of duplicate file names when multiple cards are used."
Custom Settings,File number sequence,"When a new folder is created or a new memory card is inserted in the camera, file numbering will continue from the last number used. This simplifies file management by minimizing the occurrence of duplicate file names when multiple cards are used.",,,,,,
Custom Settings,File number sequence,Off,,,,,,"When a new folder is created or a new memory card is inserted, file numbering restarts from 0001. If the current folder already contains images, file numbering will instead continue from the highest file number in the current folder. If you select after selecting [On], the camera will store the current file number. File numbering will resume from the previously-stored value the next time [On] is selected"
Custom Settings,File number sequence,On,,,,,,"Choose a file numbering option. When a new folder is created or a new memory card is inserted in the camera, file numbering will continue from the last number used. This simplifies file management by minimizing the occurrence of duplicate file names when multiple cards are used."
Custom Settings,Apply settings to live view,,,,,,,Choose whether the camera adjusts the preview in the viewfinder or monitor to reflect how shooting settings will affect the hue and brightness of the final picture.
Custom Settings,Apply settings to live view,"The effects of changes to settings such as white balance, Picture Controls, and exposure compensation are visible in the shooting display.",,,,,,
Custom Settings,Apply settings to live view,"The effects of changes to settings such as white balance, Picture Controls, and exposure compensation are not visible in the shooting display. The hue and brightness of the display can be adjusted for ease of viewing during extended photo shoots. A g icon appears in the shooting display.",,,,,,
Custom Settings,Framing grid display,,,,,,,Choose whether to display a grid for reference when framing shots. A Custom Settings: Fine-Tuning Camera Settings.
Photo Shooting,Image quality,"Record photos in JPEG format. ”Fine” produces higher quality pictures than ”normal”
and ”normal” higher quality pictures than “basic”.

Choose options with a star (“m”) to maximize image quality. Choose options without a star (“m”) to ensure that the JPEG copies all have more or less the same file size.",,,,,,Record photos in JPEG format. ”Fine” produces higher quality pictures than ”normal” and ”normal” higher quality pictures than “basic”. Choose options with a star (“m”) to maximize image quality. Choose options without a star (“m”) to ensure that the JPEG copies all have more or less the same file size.
Photo Shooting,Image quality,Record photos in NEF (RAW) format.,,,,,,Record photos in NEF (RAW) format.
Photo Shooting,Image quality,"Record two copies of each photo: an NEF (RAW) image and a JPEG copy.


For the JPEG copy, you can choose from options prioritizing image quality or file
size. Choose options with a star (“m”) to maximize image quality. Choose options without a star (“m”) to ensure that the JPEG copies all have more or less the same file size.


Only the JPEG copy is displayed during playback. The NEF (RAW) copies can only be
viewed using a computer.


Deleting the JPEG copies on the camera also deletes the NEF (RAW) images.",,,,,,"Record two copies of each photo: an NEF (RAW) image and a JPEG copy. For the JPEG copy, you can choose from options prioritizing image quality or file size. Choose options with a star (“m”) to maximize image quality. Choose options without a star (“m”) to ensure that the JPEG copies all have more or less the same file size. Only the JPEG copy is displayed during playback. The NEF (RAW) copies can only be viewed using a computer. Deleting the JPEG copies on the camera also deletes the NEF (RAW) images."
Custom Settings,Focus peaking,,,,,,,"When focus peaking is enabled in manual focus mode, objects that are in focus are indicated by colored outlines in the display. You can choose the color. Choose from [3 (high sensitivity)], [2 (standard)], [1 (low sensitivity)], and [Off]. The higher the value, the greater the depth that will be shown as being in focus."
Custom Settings,View all in continuous mode,,,,,,,"If [Off] is selected, the display will go blank during burst photography. A Custom Settings: Fine-Tuning Camera Settings."
Custom Settings,Flash sync speed,,,,,,,
Custom Settings,Flash shutter speed,,,,,,,Choose the slowest shutter speed available with a flash in mode P or A
Custom Settings,Exposure comp. for flash,,,,,,,Choose how the camera adjusts flash level when exposure compensation is used. The camera adjusts both the flash level and exposure. This changes the exposure for the entire frame.
Custom Settings,Exposure comp. for flash,Entire frame,,,,,,Choose how the camera adjusts flash level when exposure compensation is used. The camera adjusts both the flash level and exposure. This changes the exposure for the entire frame.
Custom Settings,Exposure comp. for flash,Background only,,,,,,Choose how the camera adjusts flash level when exposure compensation is used. The camera adjusts both the flash level and exposure. This changes the exposure for the entire frame.
Custom Settings,Auto c ISO sensitivity control,,,,,,,Choose how the camera adjusts flash level when auto ISO sensitivity control is enabled. [Subject and background].
Custom Settings,Auto c ISO sensitivity control,Subject and background,,,,,,Choose how the camera adjusts flash level when auto ISO sensitivity control is enabled. [Subject and background].
Photo Shooting,Manage Picture Control,Copy custom Picture Controls to and from the memory card.,,,,,,Copy custom Picture Controls to and from the memory card.
Photo Shooting,Manage Picture Control,Delete custom Picture Controls.,,,,,,Delete custom Picture Controls.
Photo Shooting,Manage Picture Control,Rename custom Picture Controls.,,,,,,Rename custom Picture Controls.
Photo Shooting,Manage Picture Control,"Create a new custom Picture Control based on an existing preset or custom Picture
                                                         Control, or edit existing custom Picture Controls.",,,,,,"Create a new custom Picture Control based on an existing preset or custom Picture Control, or edit existing custom Picture Controls."
Custom Settings,Auto c ISO sensitivity control,Subject only,,,,,,Choose how the camera adjusts flash level when auto ISO sensitivity control is enabled. [Subject and background].
Custom Settings,Modeling flash,,,,,,,"If [On] is selected when the camera is used with an optional flash unit that supports the Nikon Creative Lighting system, pressing a control to which [Preview] has been assigned using Custom Setting f2 [Custom controls] will emit a modeling flash"
Custom Settings,Auto bracketing (mode M),,,,,,,The settings affected when bracketing is enabled in mode M are determined by the options selected for [Auto bracketing] > [Auto bracketing set] in the photo shooting menu and the option chosen for Custom Setting e6 [Auto bracketing (mode M)]
Custom Settings,Bracketing order,,,,,,,"Choose the order in which the shots in the bracketing program are taken. The unmodified shot is taken first, followed by the shot with the lowest value, followed by the shot with the highest value."
Custom Settings,Bracketing order,MTR > under > over,,,,,,"Choose the order in which the shots in the bracketing program are taken. The unmodified shot is taken first, followed by the shot with the lowest value, followed by the shot with the highest value."
Custom Settings,Bracketing order,Under > MTR > over,,,,,,"Choose the order in which the shots in the bracketing program are taken. The unmodified shot is taken first, followed by the shot with the lowest value, followed by the shot with the highest value."
Photo Shooting,Active D-Lighting,Off,,,,,,Active D-Lighting off.
Photo Shooting,Active D-Lighting,Low,,,,,,
Photo Shooting,Active D-Lighting,Normal,,,,,,
Photo Shooting,Active D-Lighting,High,,,,,,
Photo Shooting,Active D-Lighting,Extra high,,,,,,"Choose the amount of Active D-Lighting performed from [Extra high], [High], [Normal], and [Low]."
Photo Shooting,Active D-Lighting,Auto,,,,,,The camera automatically adjusts Active D-Lighting in response to shooting conditions.
Custom Settings,Customize i menu,,,,,,,The following items can be assigned to the i menu. [Frame size and rate/Image quality].
Custom Settings,Custom controls,,,,,,,Choose the operations performed in photo mode using camera or lens controls or by pressing camera controls and rotating command dials
Custom Settings,OK button,,,,,,,[Select center focus point] A Custom Settings: Fine-Tuning Camera Settings.
Custom Settings,Shutter spd & aperture lock,,,,,,,Selecting [On] for [Shutter speed lock] locks shutter speed at the value currently selected in mode S or M. Selecting [On] for [Aperture lock] locks aperture at the value currently selected in mode A or M
Custom Settings,Customize command dials,,,,,,,Customize the operation of the main and sub-command dials. The selected settings also apply to the command dials on optional MB-N11 power battery packs.
Custom Settings,Customize command dials,On,,,,,,Customize the operation of the main and sub-command dials. The selected settings also apply to the command dials on optional MB-N11 power battery packs.
Custom Settings,Customize command dials,On,,,,,,"If is selected and [Focus mode/AF-area mode] has been assigned to a control using Custom Setting f2 [Custom controls], you can choose the AF-area mode by holding the control and rotating the main command dial and focus mode by holding the control and rotating the sub-command dial"
Custom Settings,Customize command dials,Sub-dial frame advance,,,,,,"Playback: The main command dial can be used to choose the picture displayed during full-frame playback. The sub-command dial can be used to skip forward or back according to the option selected for . During thumbnail playback, the main command dial can be used to highlight thumbnails and the sub-command dial to page up or down. Menus*:Use the main command dial to highlight menu items. Rotating the sub-command dial right displays the sub-menu for the highlighted option. Rotating it left displays the previous menu"
Photo Shooting,High ISO NR,Low,,,,,,Noise reduction is performed only as required. The amount of noise reduction performed is always lower than when is selected.
Photo Shooting,High ISO NR,High,,,,,,"Reduce noise in photographs taken at all ISO sensitivities. The higher the sensitivity, the greater the effect. Choose the amount of noise reduction performed from , [Normal], and [Low]."
Custom Settings,Customize command dials,On (image review excluded),,,,,,Customize the operation of the main and sub-command dials. The selected settings also apply to the command dials on optional MB-N11 power battery packs.
Custom Settings,Customize command dials,Use the multi selector to choose the picture displayed during full-frame playback or to highlight pictures or menu items.,,,,,,
Custom Settings,Customize command dials,Skip forward or back 10 frames at a time.,,,,,,
Photo Shooting,Vignette control,Vignette control disabled.,,,,,,Vignette control disabled.
Photo Shooting,Vignette control,Low,,,,,,
Photo Shooting,Vignette control,Normal,,,,,,
Photo Shooting,Vignette control,High,,,,,,"Choose the amount of vignette control performed from (in order from high to low) [High], [Normal], and [Low]."
Custom Settings,Customize command dials,Skip forward or back 50 frames at a time.,,,,,,
Custom Settings,Customize command dials,Rating,,,,,,"Skip to the next or previous pictures with the selected rating. To choose the rating, highlight [Rating] and press 2"
Custom Settings,Customize command dials,Protect,,,,,,Customize the operation of the main and sub-command dials. The selected settings also apply to the command dials on optional MB-N11 power battery packs.
Custom Settings,Customize command dials,Still images only,,,,,,Customize the operation of the main and sub-command dials. The selected settings also apply to the command dials on optional MB-N11 power battery packs.
Custom Settings,Customize command dials,Movies only,,,,,,Customize the operation of the main and sub-command dials. The selected settings also apply to the command dials on optional MB-N11 power battery packs.
Custom Settings,Customize command dials,Folder,,,,,,Customize the operation of the main and sub-command dials. The selected settings also apply to the command dials on optional MB-N11 power battery packs.
Custom Settings,Release button to use dial,,,,,,,"Selecting [Yes] allows adjustments that are normally made by holding a button and rotating a command dial to be made by rotating the command dial after the button is released. This ends when the button is pressed again, the shutter-r"
Custom Settings,Reverse indicators,,,,,,,"Choose whether the exposure indicator is displayed with negative values on the left and positive values on the right, or with positive values on the left and negative values on the right. The indicator is displayed with positive values on the left and negative values on the right."
Photo Shooting,Metering,Highlight-weighted metering,,,,,,"The camera assigns the greatest weight to highlights. Use this option to reduce loss of detail in highlights, for example when photographing spotlit performers on stage."
Photo Shooting,Metering,Spot metering,,,,,,"The camera meters a circle with a diameter of 4 mm/0.16 in. (equivalent to approximately 1.5% of the frame). This ensures that the subject will be correctly exposed even when the background is much brighter or darker. The metered area is centered on the current focus point. If [Auto-area AF], [Auto-area AF (people)], or [Auto-area AF (animals)] is selected for AF-area mode (AF-Area Mode), the camera will instead meter the center focus point."
Photo Shooting,Metering,Center-weighted metering,,,,,,"The camera assigns the greatest weight to the center of the frame. It can be used with subjects that dominate the composition, for example. Center-weighted metering is also recommended when using filters with an exposure factor (filter factor) over 1×. The size of the area assigned the greatest weight can be selected using Custom Setting b3 [Center-weighted area]."
Photo Shooting,Metering,Matrix metering,,,,,,"The camera meters a wide area of the frame and sets exposure according to tone distribution, color, composition, and distance for results close to those seen by the naked eye."
Custom Settings,Reverse ring for focus,,,,,,,Select [On] to reverse the direction of rotation for focus or control rings on Z mount lenses during manual focus. This option does not support:.
Custom Settings,Assign MB-N11 buttons,,,,,,,"Choose the roles played by the controls on optional MB-N11 power battery packs in movie mode. The roles that can be assigned to these controls are listed below. For information on the listed roles, see the section on Custom Setting g2 [Custom controls]."
Custom Settings,Customize i menu,,,,,,,The following items can be assigned to the i menu. [Frame size and rate/Image quality].
Custom Settings,Custom controls,,,,,,,Choose the operations performed in movie mode using camera or lens controls or by pressing camera controls and rotating command dials
Custom Settings,OK button,,,,,,,"Choose the role assigned to the J button in movie mode. Regardless of the option selected, the J button can be used for focus tracking (Subject-Tracking AF) when [Auto-area AF], [Auto-area AF (people)], or [Auto-area AF (animals)] is selected for AF-area mode"
Custom Settings,AF speed,,,,,,,Choose the focus speed for movie mode. Use [When to apply] to choose when the selected option applies.
Photo Shooting,Flash mode,Flash off,,,,,,The flash does not fire.
Photo Shooting,Flash mode,Rear-curtain sync,,,,,,"The flash fires just before the shutter closes, creating the effect of a stream of light behind moving light sources. Selecting P or A after choosing this option sets the flash mode to slow sync. Note that photos may be prone to blurring due to camera shake at slow shutter speeds. Use of a tripod is recommended."
Photo Shooting,Flash mode,Slow sync + red-eye,,,,,,Use to include background lighting in portraits. Red-eye reduction is combined with slow shutter speeds to capture background lighting at night or under low light. Note that photos may be prone to blurring due to camera shake at slow shutter speeds. Use of a tripod is recommended.
Photo Shooting,Flash mode,Slow sync,,,,,,"As for “fill flash”, except that shutter speed slows automatically to capture background lighting at night or under low light. Note that photos may be prone to blurring due to camera shake at slow shutter speeds. Use of a tripod is recommended."
Photo Shooting,Flash mode,Red-eye reduction,,,,,,"Use for portraits. The red-eye reduction lamp on the camera or flash unit lights before the flash fires, reducing “red-eye”. A flash unit with red-eye reduction is required. The desired results may not be achieved if the subject or camera moves before the shutter is released (this setting is not recommended with moving subjects or in other situations requiring a quick shutter response)."
Photo Shooting,Flash mode,Fill flash,,,,,,"This mode is recommended in most situations. In modes P and A, shutter speed will automatically be set to values between 1/200 s (or 1/8000 s with auto FP high-speed sync) and 1/60 s."
Custom Settings,AF speed,Always,,,,,,Choose the focus speed for movie mode. Use [When to apply] to choose when the selected option applies.
Custom Settings,AF speed,Only while recording,,,,,,Choose the focus speed for movie mode. Use [When to apply] to choose when the selected option applies.
Custom Settings,AF tracking sensitivity,,,,,,,The AF tracking sensitivity for movie mode can be set to values of from 1 to 7
Custom Settings,Highlight display,,,,,,,Choose whether shading is used to indicate highlights (bright areas of the frame) during movie recording
Custom Settings,Assign MB-N11 buttons,,,,,,,"Choose the roles played by the controls on optional MB-N11 power battery packs in movie mode. The roles that can be assigned to these controls are listed below. For information on the listed roles, see the section on Custom Setting g2 [Custom controls]."
Setup,Format memory card,,,,,,,"Format memory cards. To begin formatting, choose a memory card slot and select [Yes]. Note that formatting permanently deletes all pictures and other data on the card. Before formatting, be sure to make backup copies as required. Do not turn the camera off or remove memory cards until the message [Formatting memory card] clears from the display."
Setup,Save user settings,,,,,,,Frequently-used combinations of settings can be assigned to the U1 to U3 positions on the mode dial (Save User Settings)
Setup,Reset user settings,,,,,,,Reset settings for U1 to U3 to default values (Resetting User Settings)
